,inf_mode,cell_type,rnn_direction,batch_size,sentence_length,num_unit,num_layer,epoch,accuracy,precision,recall,f_measure
134,next,lstm,uni,256,,256,3,60,0.5570897503983006,0.5647249939865441,0.5570897503983006,0.5586301442596439
135,next,gru,uni,256,,256,3,90,0.4552575677110993,0.45834192451976835,0.4552575677110993,0.45491952257191526
136,next,gru,bi,256,,256,2,50,0.5270844397238449,0.5300433211528057,0.5270844397238449,0.5260353307497324
137,next,gru,uni,256,,256,5,70,0.06970260223048327,0.06698259443541023,0.06970260223048327,0.06747680648860264
138,next,gru,bi,256,,256,3,5,0.08855549654806161,0.08691376435400791,0.08855549654806161,0.08691916638102304
139,next,lstm,uni,256,,256,3,100,0.554567180031864,0.5631204164173828,0.554567180031864,0.5570468890940863
140,next,gru,uni,256,,256,5,90,0.07182687201274562,0.06812293467618838,0.07182687201274562,0.06820918382617151
141,next,gru,bi,256,,128,2,30,0.5312002124269782,0.5344898962514036,0.5312002124269782,0.5311348714594967
142,next,lstm,uni,256,,512,3,50,0.20379713223579396,0.20061940988580898,0.20379713223579396,0.19975695749102898
143,next,gru,uni,256,,256,6,90,0.07992565055762081,0.07636025720284972,0.07992565055762081,0.07580765136165549
144,next,gru,uni,256,,256,6,40,0.07926181625066384,0.07631139935342027,0.07926181625066384,0.07642481489007825
145,next,lstm,uni,256,,256,3,80,0.5535050451407328,0.5602600214324682,0.5535050451407328,0.5547878729680898
146,next,gru,uni,256,,256,6,70,0.07421667551779076,0.07079639355084567,0.07421667551779076,0.07131461687102539
147,next,gru,uni,256,,256,3,10,0.40002655337227827,0.3979329641791152,0.40002655337227827,0.39759956338036545
148,next,gru,uni,256,,256,3,50,0.39843335103558153,0.3990312690951437,0.39843335103558153,0.3973089084220136
149,next,gru,uni,256,,256,3,40,0.48274030801911844,0.48860622449069485,0.48274030801911844,0.48355031915531743
150,next,gru,bi,256,,128,3,10,0.485262878385555,0.49174742214341727,0.485262878385555,0.4863709452207266
151,next,gru,bi,256,,128,3,40,0.5181890600106214,0.5222252700705523,0.5181890600106214,0.5186092402947456
152,self,lstm,uni,256,,128,2,10,0.2340679766330324,0.23122742420531728,0.2340679766330324,0.23185397717269707
153,next,gru,uni,256,,256,3,40,0.563595326606479,0.5711972543297115,0.563595326606479,0.5651430369878994
154,next,gru,uni,256,,256,3,30,0.07474774296335635,0.07227700200281713,0.07474774296335635,0.07226796149910487
155,next,gru,uni,256,,256,3,60,0.08178438661710037,0.0781251827032536,0.08178438661710037,0.07883521965427744
156,next,lstm,uni,256,,256,3,90,0.5577535847052576,0.5661934513814589,0.5577535847052576,0.560191721104687
157,self,lstm,uni,256,,256,2,20,0.32195963887413703,0.31837775860197914,0.32195963887413703,0.3186273285140992
158,next,gru,uni,256,,256,3,10,0.06664896441848114,0.06419027317803974,0.06664896441848114,0.06255920743187118
159,next,gru,uni,256,,256,3,100,0.5647902283590016,0.5717529107015766,0.5647902283590016,0.5663469301741164
160,next,gru,bi,256,,128,3,5,0.40507169410515137,0.4093294300531688,0.40507169410515137,0.40533310484578133
161,next,gru,uni,256,,256,3,50,0.5639936271906533,0.5744991733126217,0.5639936271906533,0.5659975744224671
162,next,lstm,uni,256,,128,3,10,0.3983005841741901,0.4021714325156754,0.3983005841741901,0.398461943957987
163,next,gru,bi,256,,256,3,30,0.10183218268720128,0.0972043215888453,0.10183218268720128,0.09732373581239562
164,next,gru,uni,256,,256,3,20,0.5630642591609134,0.5684816615671444,0.5630642591609134,0.5633856869072339
165,next,gru,uni,256,,512,3,10,0.07395114179500796,0.0699771490824786,0.07395114179500796,0.06748815993964619
